name,type,ra_hours,dec_degrees,magnitude,size_arcmin
M 1,SNR,5.575547,22.014472,8.40,8.00
M 2,GCl,21.557503,-0.823306,6.25,8.40
M 3,GCl,13.703119,28.375444,6.39,16.20
M 4,GCl,16.393167,-26.525528,5.40,28.20
M 5,GCl,15.309375,2.082694,5.95,15.00
M 6,OCl,17.672431,-32.254167,4.20,15.60
M 7,OCl,17.897550,-34.792833,3.30,22.20
M 8,Neb,18.061464,-24.380167,5.80,45.00
M 9,GCl,17.319939,-18.516250,8.42,6.90
M 10,GCl,16.952497,-4.099333,4.98,9.30
M 11,OCl,18.851664,-6.270028,5.80,9.00
M 12,GCl,16.787367,-1.947833,6.07,11.10
M 13,GCl,16.694897,36.461306,5.80,16.50
M 14,GCl,17.626711,-3.245917,5.73,9.9
M 15,GCl,21.499550,12.166833,6.30,11.10
M 16,Neb,18.313381,-13.807222,6.00,120.00
M 17,Neb,18.346419,-16.171528,7.00,12.60
M 18,OCl,18.332914,-17.101972,6.90,6.00
M 19,GCl,17.043800,-26.267944,5.57,7.50
M 20,Neb,18.045031,-22.971889,8.50,28.00
M 21,OCl,18.070403,-22.490056,5.90,6.00
M 22,GCl,18.606722,-23.903417,6.17,12.60
M 23,OCl,17.951325,-18.985333,5.50,16.80
M 24,*Ass,18.282256,-18.514556,4.50,120.00
M 25,OCl,18.529658,-19.114944,4.60,14.10
M 26,OCl,18.755183,-9.383611,8.87,6.00
M 27,PN,19.993439,22.721028,7.40,6.70
M 28,GCl,18.409136,-24.869833,6.90,5.10
M 29,OCl,20.399381,38.507667,6.60,3.60
M 30,GCl,21.672783,-23.179083,7.10,9.00
M 31,G,0.712319,41.269056,3.44,177.83
M 32,G,0.711619,40.865278,8.13,7.74
M 33,G,1.564136,30.660222,5.79,62.09
M 34,OCl,2.702056,42.746139,5.20,22.50
M 35,OCl,6.151406,24.338639,5.10,24.00
M 36,OCl,5.604928,34.140750,6.00,7.20
M 37,OCl,5.871764,32.553000,5.60,11.40
M 38,OCl,5.478469,35.854917,6.40,9.60
M 39,OCl,21.530089,48.438167,4.60,19.50
M 41,OCl,6.766650,-20.754222,4.50,12.00
M 42,Cl+N,5.587911,-5.389667,4.00,90.00
M 43,HII,5.592050,-5.267472,9.00,20.00
M 44,OCl,8.672833,19.672056,3.10,108.60
M 46,OCl,7.696339,-14.810000,6.10,21.00
M 47,OCl,7.609728,-14.482611,4.40,19.80
M 48,OCl,8.228661,-5.750444,5.80,28.20
M 49,G,12.496322,8.000472,8.28,10.21
M 50,OCl,7.044575,-8.364028,5.90,14.10
M 51,G,13.497975,47.195167,8.36,13.71
M 52,OCl,23.413444,61.593167,6.90,9.90
M 53,GCl,13.215342,18.169111,7.79,9.00
M 54,GCl,18.917575,-30.478500,7.70,5.10
M 55,GCl,19.666500,-30.962083,6.49,12.00
M 56,GCl,19.276531,30.184500,8.40,5.80
M 57,PN,18.893058,33.028583,8.80,1.27
M 58,G,12.628756,11.818194,10.30,5.01
M 59,G,12.700622,11.647028,9.56,4.55
M 60,G,12.727772,11.552694,8.79,6.78
M 61,G,12.365250,4.473639,10.25,6.89
M 62,GCl,17.020167,-30.112361,7.39,7.80
M 63,G,13.263703,42.029278,8.61,11.83
M 64,G,12.945456,21.682972,8.52,10.52
M 65,G,11.315533,13.092361,9.32,7.64
M 66,G,11.337489,12.991528,8.92,10.28
M 67,OCl,8.855592,11.811944,6.90,33.00
M 68,GCl,12.657781,-26.743028,7.96,6.60
M 69,GCl,18.523119,-32.347972,8.31,5.70
M 70,GCl,18.720178,-32.291889,9.06,6.60
M 71,GCl,19.896142,18.778389,6.10,6.90
M 72,GCl,20.891086,-12.537056,8.96,4.50
M 73,Other,20.982214,-12.635500,8.90,
M 74,G,1.611597,15.783667,9.31,9.89
M 75,GCl,20.101344,-21.922222,8.26,3.60
M 76,PN,1.705469,51.575472,10.10,1.12
M 77,G,2.711308,-0.013278,9.29,6.11
M 78,RfN,5.779394,0.079306,8.00,4.50
M 79,GCl,5.402942,-24.524222,8.16,7.20
M 80,GCl,16.284031,-22.975111,7.30,5.70
M 81,G,9.925881,69.065306,6.92,21.63
M 82,G,9.931314,69.679389,8.30,10.99
M 83,G,13.616931,-29.865417,7.21,13.61
M 84,G,12.417706,12.886972,9.79,7.41
M 85,G,12.423364,18.191500,9.05,6.95
M 86,G,12.436594,12.946222,8.86,11.53
M 87,G,12.513728,12.391111,9.00,7.11
M 88,G,12.533100,14.420389,10.33,8.65
M 89,G,12.594392,12.556333,10.08,8.13
M 90,G,12.613831,13.162944,9.54,9.12
M 91,G,12.590681,14.496333,10.96,5.55
M 92,GCl,17.285353,43.136528,6.52,14.40
M 93,OCl,7.741453,-23.853083,6.20,15.00
M 94,G,12.848072,41.120444,8.24,7.74
M 95,G,10.732694,11.703806,9.77,7.23
M 96,G,10.779372,11.819944,9.21,8.26
M 97,PN,11.246586,55.019028,9.90,3.58
M 98,G,12.230081,14.900333,10.84,11.04
M 99,G,12.313778,14.416500,9.84,5.04
M 100,G,12.381897,15.821806,9.47,6.10
M 101,G,14.053483,54.348944,7.90,23.99
M 103,OCl,1.556058,60.658000,7.40,4.50
M 104,G,12.666508,-11.623056,8.59,8.45
M 105,G,10.797108,12.581611,9.27,4.89
M 106,G,12.315972,47.303972,9.29,16.98
M 107,GCl,16.542200,-13.053639,8.85,7.80
M 108,G,11.191936,55.674111,10.05,3.98
M 109,G,11.959994,53.374528,9.88,8.07
M 110,G,0.672800,41.685306,8.15,16.22
